#,,,,Start,,,Highest Point,,,End,,,,,,
#,Date,Satellite,Brightness (mag),Time,Altitude,Azimuth,Time,Altitude,Azimuth,Time,Altitude,Azimuth,,,,
,13-Oct,STARLINK-1573,4,19:12:03,10°,NNW,19:15:57,44°,NE,19:19:58,10°,SE,,,,
,13-Oct,STARLINK-1062,5.9,19:12:05,10°,W,19:14:31,17°,NW,19:16:55,10°,NNW,,,,
,13-Oct,STARLINK-4720,?,19:12:15,10°,W,19:15:39,24°,SW,19:19:05,10°,SSE,,,,
,13-Oct,STARLINK-3305,?,19:12:16,10°,W,19:15:13,19°,SW,19:18:11,10°,S,,,,
,13-Oct,STARLINK-2267,5,19:12:22,10°,WSW,19:16:14,37°,NW,19:20:06,10°,NNE,,,,
,13-Oct,STARLINK-2147,5.2,19:12:28,10°,SSW,19:16:14,25°,SE,19:19:54,10°,E,,,,
,13-Oct,STARLINK-1815,5,19:12:51,10°,SSW,19:16:02,22°,SE,19:18:54,10°,E,,,,
,13-Oct,STARLINK-4162,3.8,19:12:52,10°,SW,19:17:20,85°,SE,19:21:48,10°,NE,,,,
,13-Oct,STARLINK-2185,5.6,19:12:53,10°,SSW,19:16:15,20°,SE,19:19:38,10°,E,,,,
,13-Oct,STARLINK-4352,6.6,19:12:55,10°,NW,19:16:00,21°,W,19:19:09,10°,SW,,,,
,13-Oct,STARLINK-2423,6.8,19:13:05,10°,SW,19:13:55,10°,SSW,19:14:47,10°,SSW,,,,
,13-Oct,STARLINK-1992,7.5,19:13:19,10°,SW,19:18:22,16°,S,19:23:21,10°,SSE,,,,
,13-Oct,STARLINK-2387,6.5,19:13:28,10°,WSW,19:15:51,15°,SW,19:18:14,10°,S,,,,
,13-Oct,STARLINK-1507,3.2,19:13:29,10°,SW,19:17:05,74°,SE,19:20:40,10°,NE,,,,
,13-Oct,STARLINK-4019,3.6,19:13:37,10°,NNW,19:17:42,69°,NE,19:21:51,10°,SE,,,,
,13-Oct,STARLINK-1276,6.3,19:13:52,10°,SW,19:14:49,11°,SW,19:15:47,10°,SSW,,,,
,13-Oct,STARLINK-1437,4.2,19:13:57,10°,NNW,19:18:38,55°,NE,19:23:39,10°,SE,,,,
,13-Oct,STARLINK-4070,6.5,19:14:02,10°,W,19:16:26,15°,WNW,19:18:50,10°,NNW,,,,
,13-Oct,STARLINK-1150,10.7,19:14:07,10°,SW,20:52:53,60°,W,0:05:57,10°,NNW,,,,
,13-Oct,STARLINK-3390,?,19:14:15,10°,NW,19:18:35,71°,SW,19:22:56,10°,SE,,,,
,13-Oct,STARLINK-2064,6.1,19:14:36,10°,W,19:17:44,21°,SW,19:20:51,10°,SSE,,,,
,13-Oct,STARLINK-2348,3.4,19:14:39,10°,SW,19:18:10,62°,SE,19:21:53,10°,NE,,,,
,13-Oct,STARLINK-1686,5.9,19:14:45,10°,S,19:17:47,17°,SE,19:20:58,10°,ESE,,,,
,13-Oct,STARLINK-3228,?,19:14:54,10°,SW,19:16:49,85°,SE,19:19:42,10°,NE,,,,
,13-Oct,STARLINK-2425,4.9,19:14:56,10°,SW,19:19:50,53°,NW,19:24:59,10°,NNE,,,,
,13-Oct,STARLINK-4738,4.5,19:15:04,10°,N,19:18:39,29°,NE,19:22:18,10°,ESE,,,,
,13-Oct,STARLINK-5008,8,19:15:08,10°,WNW,19:33:02,52°,SW,19:49:06,10°,SE,,,,
,13-Oct,STARLINK-5053,6.2,19:15:20,10°,W,19:18:34,21°,SW,19:21:53,10°,SSE,,,,
,13-Oct,STARLINK-1978,7.7,19:15:24,10°,SW,19:22:27,22°,S,19:31:29,10°,SE,,,,
,13-Oct,STARLINK-3344,?,19:15:28,10°,N,19:18:46,24°,NE,19:22:05,10°,ESE,,,,
,13-Oct,STARLINK-1636,4.3,19:15:38,10°,WNW,19:18:44,43°,SW,19:22:00,10°,SSE,,,,
,13-Oct,STARLINK-3973,6,19:15:43,10°,W,19:19:05,24°,SW,19:22:30,10°,SSE,,,,
,13-Oct,STARLINK-2488,5,19:15:52,10°,N,19:19:34,23°,NE,19:23:02,10°,ESE,,,,
,13-Oct,STARLINK-1310,6.5,19:15:58,10°,W,19:17:30,12°,WNW,19:19:01,10°,NW,,,,
,13-Oct,STARLINK-3591,?,19:16:01,10°,W,19:19:30,26°,SW,19:23:05,10°,SSE,,,,
,13-Oct,STARLINK-4084,4.7,19:16:03,10°,SSW,19:19:41,30°,SE,19:22:55,12°,ENE,,,,
,13-Oct,STARLINK-3972,4.4,19:16:03,10°,SSW,19:19:52,37°,SE,19:23:17,12°,ENE,,,,
,13-Oct,STARLINK-1955,5.6,19:16:17,10°,NW,19:24:52,59°,SW,19:30:03,10°,SSE,,,,
,13-Oct,STARLINK-4798,5,19:16:27,10°,NNE,19:19:16,18°,ENE,19:22:05,10°,E,,,,
,13-Oct,STARLINK-2667,5.5,19:16:46,10°,NE,19:18:17,12°,ENE,19:19:26,11°,ENE,,,,
,13-Oct,STARLINK-1529,5.1,19:17:18,10°,S,19:19:59,19°,SE,19:22:25,11°,E,,,,
,13-Oct,STARLINK-1810,6.7,19:17:21,10°,SW,19:18:49,11°,SSW,19:20:18,10°,S,,,,
,13-Oct,STARLINK-3231,?,19:17:28,10°,SW,19:21:37,89°,SE,19:25:44,10°,NE,,,,
,13-Oct,STARLINK-4760,5,19:17:29,10°,NNE,19:20:24,19°,ENE,19:23:20,10°,ESE,,,,
,13-Oct,STARLINK-4071,3.9,19:17:41,10°,SSW,19:21:44,52°,SE,19:25:25,12°,ENE,,,,
,13-Oct,STARLINK-1066,4,19:17:46,10°,WNW,19:21:01,51°,SW,19:24:26,10°,SSE,,,,
,13-Oct,STARLINK-2035,5.7,19:17:48,10°,W,19:21:03,27°,SW,19:24:35,10°,SSE,,,,
,13-Oct,STARLINK-2526,6.1,19:17:50,10°,W,19:20:39,19°,NW,19:23:32,10°,N,,,,
,13-Oct,STARLINK-4792,4,19:17:57,10°,SW,19:22:32,71°,NW,19:26:46,10°,NNE,,,,
,13-Oct,STARLINK-4742,?,19:18:06,10°,NW,19:22:11,79°,NE,19:26:18,10°,SE,,,,
,13-Oct,STARLINK-1746,5.5,19:18:07,10°,WSW,19:21:58,31°,NW,19:25:47,10°,N,,,,
,13-Oct,STARLINK-1963,3.8,19:18:08,10°,NNW,19:21:31,38°,NE,19:24:54,10°,ESE,,,,
,13-Oct,STARLINK-3313,?,19:18:09,10°,WSW,20:07:52,50°,SSE,20:17:49,20°,E,,,,
,13-Oct,STARLINK-1993,4.5,19:18:13,10°,NW,19:22:22,57°,SW,19:26:46,10°,SE,,,,
,13-Oct,STARLINK-1976,6.2,19:18:23,10°,W,19:21:15,18°,NW,19:24:08,10°,N,,,,
,13-Oct,STARLINK-2420,5.8,19:18:53,10°,WSW,19:21:59,21°,WNW,19:24:51,10°,N,,,,
,13-Oct,STARLINK-1086,6.4,19:18:54,10°,W,19:23:02,24°,SW,19:27:03,10°,SSE,,,,
